予約語,意味,詳細,,
,,,,
==========================,型,==================================,,
ちょく,整数型,,,
ちょくだい,リスト型,,,
だい,文字型,,,
だいだい,文字列型,,,
,,,,
==========================,定義,==================================,,
ちょくちょく,変数の定義,,,
ちょくちょくちょく,関数の定義,,,
,,,,
==========================,関数の機能,==================================,,
ちょくちょくちょく,関数の定義,(再掲),,
ちょくだいだい,戻り値を返す,,,
ちょくちょくだい,関数の定義を終了する,,,
ちょくだいちょくだい,main関数,,,
,,,,
==========================,標準入出力,==================================,,
だいちょく,標準出力,,,
ちょくだいちょく,標準入力(数字),半角スペースと改行で区切られる数字を読む,,
ちょくだいだいだい,標準入力(文字列),半角スペースと改行で区切られる文字列を読む,,
ちょくだいだいだいだい,標準入力(スペース含む文字列),文字列を1行読み込む,,
,,,,
==========================,制御構文,==================================,,
だいだいだいだい,if,,,
だいだいだいちょく,else if,,,
だいだいちょくだい,ifの終了,,,
だいだいちょくちょく,while,,,
だいちょくだいだい,break,,,
だいちょくだいちょく,whileの終了,,,
,,,,
==========================,算術演算,==================================,,
ちょくちょくちょくちょく,加算,,,
ちょくちょくちょくだい,減算,被減数->減数->差,,
ちょくちょくだいちょく,乗算,,,
ちょくちょくだいだい,除算,,,
ちょくちょくだいだいだい,剰余演算,,,
,,,,
==========================,論理演算,==================================,,
ちょくだいだいちょく,論理演算,?->B->C ->B?C　だい: false　ちょく: true,,
,,,,
==========================,比較演算,==================================,,
だいだいだいだいだい,>,<は「not or x==c x>c」で表現すること,,
だいだいだいだいちょく,==,,,
,,,,
==========================,リスト操作,==================================,,
だいちょくちょく,要素の数を求める,,,
だいちょくだい,ランダムアクセス,"0-indexed, list->int->something",,
だいだいだい,要素に代入,"0-indexed, list->int->int->…->something->nothing",,
だいちょくちょくちょく,要素の追加,name->something->int->nothing,,
だいちょくちょくだい,要素の削除,name->int->nothing,,
だいだいだいちょくだい,昇順ソート,,,
だいだいだいちょくちょく,降順ソート,,,
,,,,
==========================,Deque,==================================,,
だいだいちょくだいだい,構築,,,
だいだいちょくだいちょく,pop_front,,,
だいだいちょくちょくだい,pop_back,,,
だいだいちょくちょくちょく,push_front,,,
だいちょくだいだいだい,push_back,,,
だいちょくだいだいちょく,Count,,,
,,,,
==========================,priority queue,==================================,,
だいちょくだいちょくだい,構築,,,
だいちょくだいちょくちょく,pop,,,
だいちょくちょくだいだい,push,,,
だいちょくちょくだいちょく,Count,,,
